"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMUNIDADES","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6829","4.24053387","1.482E-4","0.23581936","0.71428571","196","8","20","false","KCNQ1","298.375","8","0","0","0.89873332","false","0","KCNQ1","2385458","0.37203865"
"6831","4.88103873","1.864E-5","0.20487442","0.0","90","3","21","false","GPR161","321.33333333","3","0","0","0.87871754","false","0","GPR161","368776","0.61366539"
"6833","5.0269839","2.6E-7","0.19892644","0.0","90","2","21","false","PRKAR1A","41.5","2","0","0","0.87415675","false","0","PRKAR1A","358","0.54"
"6835","5.0269839","2.6E-7","0.19892644","0.0","90","2","21","false","PRKAR1B","41.5","2","0","0","0.87415675","false","0","PRKAR1B","358","0.54"
"6837","5.0269839","2.6E-7","0.19892644","0.0","90","2","21","false","PRKAR2A","41.5","2","0","0","0.87415675","false","0","PRKAR2A","358","0.54"
"6839","5.0269839","2.6E-7","0.19892644","0.0","90","2","21","false","PRKAR2B","41.5","2","0","0","0.87415675","false","0","PRKAR2B","358","0.54"
"6841","4.67952996","1.4952E-4","0.21369668","0.33333333","90","3","21","false","KCNJ2","77.66666667","3","0","0","0.88501469","false","0","KCNJ2","83738","0.36477987"
"6843","4.9518352","3.14E-6","0.20194533","0.0","90","2","20","false","KCNJ1","37.5","2","0","0","0.87650515","false","0","KCNJ1","3986","0.5"
"6845","5.10590454","0.0","0.19585168","0.0","90","1","21","false","KCNE2","67.0","1","0","0","0.87169048","false","0","KCNE2","0","0.0"
"6847","5.10590454","0.0","0.19585168","0.0","90","1","21","false","KCNJ10","67.0","1","0","0","0.87169048","false","0","KCNJ10","0","0.0"
"6849","5.10590454","0.0","0.19585168","0.0","90","1","21","false","KCNJ15","67.0","1","0","0","0.87169048","false","0","KCNJ15","0","0.0"
"6851","5.10590454","0.0","0.19585168","0.0","90","1","21","false","KCNJ16","67.0","1","0","0","0.87169048","false","0","KCNJ16","0","0.0"
"6853","4.99303641","3.425E-5","0.20027893","0.0","187","2","21","false","STIP1","39.0","2","0","0","0.87521761","false","0","STIP1","317016","0.5"
"6856","4.57551139","0.00536177","0.21855481","0.01512605","13","35","20","false","C00144","17.37142857","35","0","0","0.88826527","false","0","C00144","325009630","0.08781955"
"6858","4.60452633","6.704E-4","0.2171776","0.02822581","4","32","21","false","C00942","26.125","32","0","0","0.88735855","false","0","C00942","21021086","0.13525132"
"6874","3.71478311","0.00324724","0.26919472","0.33226709","4","123","20","false","GNB3","110.09756098","123","0","0","0.91516303","false","0","GNB3","274192006","0.06906999"
"6876","3.65559263","0.01405022","0.27355346","0.03230017","1","530","20","false","GNG13","33.23018868","530","0","0","0.91701273","false","0","GNG13","474474264","0.02083397"
