"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"174874","3.35914917","4.0138E-4","0.29769443","0.38888889","9","9","false","IQGAP1","94.77777778","9","0","0","0.83148935","false","0","IQGAP1","893634","0.19846261"
"174871","3.39132806","0.00318795","0.29486973","0.10904255","48","10","false","SDC1","41.75","48","0","0","0.82919085","false","0","SDC1","5981028","0.0899928"
"174876","3.6266703","0.0","0.27573502","0.0","2","10","false","SNAI2","192.5","2","0","0","0.81238069","false","0","SNAI2","12","0.96717172"
"174882","3.34687756","0.00405477","0.29878595","0.19964349","34","10","false","RIPK2","63.47058824","34","0","0","0.83236589","false","0","RIPK2","14904124","0.11975981"
"174880","3.6266703","0.0","0.27573502","0.0","2","10","false","TBX3","192.5","2","0","0","0.81238069","false","0","TBX3","12","0.96717172"
"174884","3.5385874","1.59E-6","0.28259864","0.0","5","10","false","EGR1","159.6","5","0","0","0.81867233","false","0","EGR1","10382","0.61235521"
"183081","4.47150259","0.0","0.22363847","0.0","1","11","false","NRG4","73.0","1","0","0","0.75203553","false","0","NRG4","0","0.0"
"174889","3.59067358","7.995E-5","0.27849928","0.0","5","10","false","AR","93.4","5","0","0","0.81495189","false","0","AR","701496","0.4125"
"174887","3.47422962","0.00163017","0.28783359","0.13071895","18","10","false","RHOG","81.38888889","18","0","0","0.82326931","false","0","RHOG","6778918","0.24511785"
"183079","4.47150259","0.0","0.22363847","0.0","1","11","false","NRG3","73.0","1","0","0","0.75203553","false","0","NRG3","0","0.0"
"174894","3.52658849","1.8078E-4","0.28356016","0.0","6","10","false","PCYT1A","136.66666667","6","0","0","0.81952939","false","0","PCYT1A","811498","0.49154589"
"174896","3.52658849","1.8078E-4","0.28356016","0.0","6","10","false","PCYT1B","136.66666667","6","0","0","0.81952939","false","0","PCYT1B","811498","0.49154589"
