"SUID","ALL-PATH-LIST","EdgeBetweenness","interaction","name","NPATHWAYS","PATHWAY","selected","shared interaction","shared name"
"246578","hsa03320","1.0","interaction","RXRG (interaction) FABP6","1","hsa03320","false","interaction","RXRG (interaction) FABP6"
"246577","hsa03320","1.0","interaction","RXRG (interaction) FABP5","1","hsa03320","false","interaction","RXRG (interaction) FABP5"
"246576","hsa03320","1.0","interaction","RXRG (interaction) FABP3","1","hsa03320","false","interaction","RXRG (interaction) FABP3"
"246575","hsa03320","1.0","interaction","RXRG (interaction) FABP2","1","hsa03320","false","interaction","RXRG (interaction) FABP2"
"246581","hsa03320","1.0","interaction","PPARA (interaction) SLC27A4","1","hsa03320","false","interaction","PPARA (interaction) SLC27A4"
"246579","hsa03320","1.0","interaction","RXRG (interaction) FABP7","1","hsa03320","false","interaction","RXRG (interaction) FABP7"
"246585","hsa03320","1.0","interaction","PPARA (interaction) SLC27A2","1","hsa03320","false","interaction","PPARA (interaction) SLC27A2"
"246583","hsa03320","1.0","interaction","PPARA (interaction) SLC27A5","1","hsa03320","false","interaction","PPARA (interaction) SLC27A5"
"246590","hsa03320","1.0","interaction","RXRA (interaction) SLC27A4","1","hsa03320","false","interaction","RXRA (interaction) SLC27A4"
"246589","hsa03320","1.0","interaction","PPARA (interaction) SLC27A1","1","hsa03320","false","interaction","PPARA (interaction) SLC27A1"
"246587","hsa03320","1.0","interaction","PPARA (interaction) SLC27A6","1","hsa03320","false","interaction","PPARA (interaction) SLC27A6"
"246594","hsa03320","1.0","interaction","RXRA (interaction) SLC27A1","1","hsa03320","false","interaction","RXRA (interaction) SLC27A1"
"246593","hsa03320","1.0","interaction","RXRA (interaction) SLC27A6","1","hsa03320","false","interaction","RXRA (interaction) SLC27A6"
"246592","hsa03320","1.0","interaction","RXRA (interaction) SLC27A2","1","hsa03320","false","interaction","RXRA (interaction) SLC27A2"
"246591","hsa03320","1.0","interaction","RXRA (interaction) SLC27A5","1","hsa03320","false","interaction","RXRA (interaction) SLC27A5"
"246598","hsa03320","1.0","interaction","RXRB (interaction) SLC27A2","1","hsa03320","false","interaction","RXRB (interaction) SLC27A2"
"246597","hsa03320","1.0","interaction","RXRB (interaction) SLC27A5","1","hsa03320","false","interaction","RXRB (interaction) SLC27A5"
"246596","hsa03320","1.0","interaction","RXRG (interaction) SLC27A4","1","hsa03320","false","interaction","RXRG (interaction) SLC27A4"
"246595","hsa03320","1.0","interaction","RXRB (interaction) SLC27A4","1","hsa03320","false","interaction","RXRB (interaction) SLC27A4"
"246602","hsa03320","1.0","interaction","RXRG (interaction) SLC27A2","1","hsa03320","false","interaction","RXRG (interaction) SLC27A2"
"246601","hsa03320","1.0","interaction","RXRG (interaction) SLC27A5","1","hsa03320","false","interaction","RXRG (interaction) SLC27A5"
"246600","hsa03320","1.0","interaction","RXRB (interaction) SLC27A1","1","hsa03320","false","interaction","RXRB (interaction) SLC27A1"
"246599","hsa03320","1.0","interaction","RXRB (interaction) SLC27A6","1","hsa03320","false","interaction","RXRB (interaction) SLC27A6"
"246606","hsa03320","1.0","interaction","PPARA (interaction) LPL","1","hsa03320","false","interaction","PPARA (interaction) LPL"
"246604","hsa03320","1.0","interaction","RXRG (interaction) SLC27A1","1","hsa03320","false","interaction","RXRG (interaction) SLC27A1"
"246603","hsa03320","1.0","interaction","RXRG (interaction) SLC27A6","1","hsa03320","false","interaction","RXRG (interaction) SLC27A6"
"246609","hsa03320","1.0","interaction","RXRG (interaction) LPL","1","hsa03320","false","interaction","RXRG (interaction) LPL"
"246608","hsa03320","1.0","interaction","RXRB (interaction) LPL","1","hsa03320","false","interaction","RXRB (interaction) LPL"
"246607","hsa03320","1.0","interaction","RXRA (interaction) LPL","1","hsa03320","false","interaction","RXRA (interaction) LPL"
"246613","hsa03320","1.0","interaction","PPARA (interaction) ACSL3","1","hsa03320","false","interaction","PPARA (interaction) ACSL3"
"246611","hsa03320","1.0","interaction","PPARA (interaction) ACSL1","1","hsa03320","false","interaction","PPARA (interaction) ACSL1"
"246617","hsa03320","1.0","interaction","PPARA (interaction) ACSBG1","1","hsa03320","false","interaction","PPARA (interaction) ACSBG1"
"246615","hsa03320","1.0","interaction","PPARA (interaction) ACSL4","1","hsa03320","false","interaction","PPARA (interaction) ACSL4"
"246621","hsa03320","1.0","interaction","PPARA (interaction) ACSL5","1","hsa03320","false","interaction","PPARA (interaction) ACSL5"
"246619","hsa03320","1.0","interaction","PPARA (interaction) ACSL6","1","hsa03320","false","interaction","PPARA (interaction) ACSL6"
"246626","hsa03320","1.0","interaction","RXRA (interaction) ACSL4","1","hsa03320","false","interaction","RXRA (interaction) ACSL4"
"246625","hsa03320","1.0","interaction","RXRA (interaction) ACSL3","1","hsa03320","false","interaction","RXRA (interaction) ACSL3"
"246624","hsa03320","1.0","interaction","RXRA (interaction) ACSL1","1","hsa03320","false","interaction","RXRA (interaction) ACSL1"
"246623","hsa03320","1.0","interaction","PPARA (interaction) ACSBG2","1","hsa03320","false","interaction","PPARA (interaction) ACSBG2"
"246630","hsa03320","1.0","interaction","RXRA (interaction) ACSBG2","1","hsa03320","false","interaction","RXRA (interaction) ACSBG2"
"246629","hsa03320","1.0","interaction","RXRA (interaction) ACSL5","1","hsa03320","false","interaction","RXRA (interaction) ACSL5"
"246628","hsa03320","1.0","interaction","RXRA (interaction) ACSL6","1","hsa03320","false","interaction","RXRA (interaction) ACSL6"
"246627","hsa03320","1.0","interaction","RXRA (interaction) ACSBG1","1","hsa03320","false","interaction","RXRA (interaction) ACSBG1"
"246634","hsa03320","1.0","interaction","RXRB (interaction) ACSL4","1","hsa03320","false","interaction","RXRB (interaction) ACSL4"
"246633","hsa03320","1.0","interaction","RXRB (interaction) ACSL3","1","hsa03320","false","interaction","RXRB (interaction) ACSL3"
"246632","hsa03320","1.0","interaction","RXRG (interaction) ACSL1","1","hsa03320","false","interaction","RXRG (interaction) ACSL1"
"246631","hsa03320","1.0","interaction","RXRB (interaction) ACSL1","1","hsa03320","false","interaction","RXRB (interaction) ACSL1"
"246638","hsa03320","1.0","interaction","RXRB (interaction) ACSBG2","1","hsa03320","false","interaction","RXRB (interaction) ACSBG2"
"246637","hsa03320","1.0","interaction","RXRB (interaction) ACSL5","1","hsa03320","false","interaction","RXRB (interaction) ACSL5"
"246636","hsa03320","1.0","interaction","RXRB (interaction) ACSL6","1","hsa03320","false","interaction","RXRB (interaction) ACSL6"
"246635","hsa03320","1.0","interaction","RXRB (interaction) ACSBG1","1","hsa03320","false","interaction","RXRB (interaction) ACSBG1"
"246642","hsa03320","1.0","interaction","RXRG (interaction) ACSL6","1","hsa03320","false","interaction","RXRG (interaction) ACSL6"
"246641","hsa03320","1.0","interaction","RXRG (interaction) ACSBG1","1","hsa03320","false","interaction","RXRG (interaction) ACSBG1"
"246640","hsa03320","1.0","interaction","RXRG (interaction) ACSL4","1","hsa03320","false","interaction","RXRG (interaction) ACSL4"
"246639","hsa03320","1.0","interaction","RXRG (interaction) ACSL3","1","hsa03320","false","interaction","RXRG (interaction) ACSL3"
"246646","hsa03320","1.0","interaction","PPARA (interaction) EHHADH","1","hsa03320","false","interaction","PPARA (interaction) EHHADH"
"246644","hsa03320","1.0","interaction","RXRG (interaction) ACSBG2","1","hsa03320","false","interaction","RXRG (interaction) ACSBG2"
"246643","hsa03320","1.0","interaction","RXRG (interaction) ACSL5","1","hsa03320","false","interaction","RXRG (interaction) ACSL5"
"246649","hsa03320","1.0","interaction","RXRG (interaction) EHHADH","1","hsa03320","false","interaction","RXRG (interaction) EHHADH"
"246648","hsa03320","1.0","interaction","RXRB (interaction) EHHADH","1","hsa03320","false","interaction","RXRB (interaction) EHHADH"
"246647","hsa03320","1.0","interaction","RXRA (interaction) EHHADH","1","hsa03320","false","interaction","RXRA (interaction) EHHADH"
"246654","hsa03320","1.0","interaction","RXRA (interaction) CYP4A11","1","hsa03320","false","interaction","RXRA (interaction) CYP4A11"
"246653","hsa03320","1.0","interaction","PPARA (interaction) CYP4A22","1","hsa03320","false","interaction","PPARA (interaction) CYP4A22"
"246651","hsa03320","1.0","interaction","PPARA (interaction) CYP4A11","1","hsa03320","false","interaction","PPARA (interaction) CYP4A11"
"246658","hsa03320","1.0","interaction","RXRB (interaction) CYP4A22","1","hsa03320","false","interaction","RXRB (interaction) CYP4A22"
"246657","hsa03320","1.0","interaction","RXRG (interaction) CYP4A11","1","hsa03320","false","interaction","RXRG (interaction) CYP4A11"
"246656","hsa03320","1.0","interaction","RXRB (interaction) CYP4A11","1","hsa03320","false","interaction","RXRB (interaction) CYP4A11"
"246655","hsa03320","1.0","interaction","RXRA (interaction) CYP4A22","1","hsa03320","false","interaction","RXRA (interaction) CYP4A22"
"246662","hsa03320","1.0","interaction","RXRA (interaction) ACAA1","1","hsa03320","false","interaction","RXRA (interaction) ACAA1"
"246661","hsa03320","1.0","interaction","PPARA (interaction) ACAA1","1","hsa03320","false","interaction","PPARA (interaction) ACAA1"
"246659","hsa03320","1.0","interaction","RXRG (interaction) CYP4A22","1","hsa03320","false","interaction","RXRG (interaction) CYP4A22"
"246666","hsa03320","1.0","interaction","PPARA (interaction) SCP2","1","hsa03320","false","interaction","PPARA (interaction) SCP2"
"246664","hsa03320","1.0","interaction","RXRG (interaction) ACAA1","1","hsa03320","false","interaction","RXRG (interaction) ACAA1"
"246663","hsa03320","1.0","interaction","RXRB (interaction) ACAA1","1","hsa03320","false","interaction","RXRB (interaction) ACAA1"
"246669","hsa03320","1.0","interaction","RXRG (interaction) SCP2","1","hsa03320","false","interaction","RXRG (interaction) SCP2"
"246668","hsa03320","1.0","interaction","RXRB (interaction) SCP2","1","hsa03320","false","interaction","RXRB (interaction) SCP2"
"246667","hsa03320","1.0","interaction","RXRA (interaction) SCP2","1","hsa03320","false","interaction","RXRA (interaction) SCP2"
"246673","hsa03320","1.0","interaction","PPARA (interaction) ACOX2","1","hsa03320","false","interaction","PPARA (interaction) ACOX2"
"246671","hsa03320,hsa04024,","1.0","interaction","PPARA (interaction) ACOX1","2","NA","false","interaction","PPARA (interaction) ACOX1"
"246678","hsa03320","1.0","interaction","RXRA (interaction) ACOX3","1","hsa03320","false","interaction","RXRA (interaction) ACOX3"
"246677","hsa03320","1.0","interaction","RXRA (interaction) ACOX2","1","hsa03320","false","interaction","RXRA (interaction) ACOX2"
"246676","hsa03320","1.0","interaction","RXRA (interaction) ACOX1","1","hsa03320","false","interaction","RXRA (interaction) ACOX1"
"246675","hsa03320,hsa04024,","1.0","interaction","PPARA (interaction) ACOX3","2","NA","false","interaction","PPARA (interaction) ACOX3"
"246682","hsa03320","1.0","interaction","RXRB (interaction) ACOX3","1","hsa03320","false","interaction","RXRB (interaction) ACOX3"
"246681","hsa03320","1.0","interaction","RXRB (interaction) ACOX2","1","hsa03320","false","interaction","RXRB (interaction) ACOX2"
"246680","hsa03320","1.0","interaction","RXRG (interaction) ACOX1","1","hsa03320","false","interaction","RXRG (interaction) ACOX1"
"246679","hsa03320","1.0","interaction","RXRB (interaction) ACOX1","1","hsa03320","false","interaction","RXRB (interaction) ACOX1"
"246686","hsa03320,hsa04920,hsa04922,","1.0","interaction","PPARA (interaction) CPT1C","3","NA","false","interaction","PPARA (interaction) CPT1C"
"246684","hsa03320","1.0","interaction","RXRG (interaction) ACOX3","1","hsa03320","false","interaction","RXRG (interaction) ACOX3"
"246683","hsa03320","1.0","interaction","RXRG (interaction) ACOX2","1","hsa03320","false","interaction","RXRG (interaction) ACOX2"
"246690","hsa03320,hsa04920,hsa04922,","1.0","interaction","PPARA (interaction) CPT1B","3","NA","false","interaction","PPARA (interaction) CPT1B"
"246688","hsa03320,hsa04920,hsa04922,","1.0","interaction","PPARA (interaction) CPT1A","3","NA","false","interaction","PPARA (interaction) CPT1A"
"246694","hsa03320","1.0","interaction","RXRB (interaction) CPT1C","1","hsa03320","false","interaction","RXRB (interaction) CPT1C"
"246693","hsa03320","1.0","interaction","RXRA (interaction) CPT1B","1","hsa03320","false","interaction","RXRA (interaction) CPT1B"
"246692","hsa03320","1.0","interaction","RXRA (interaction) CPT1A","1","hsa03320","false","interaction","RXRA (interaction) CPT1A"
"246691","hsa03320","1.0","interaction","RXRA (interaction) CPT1C","1","hsa03320","false","interaction","RXRA (interaction) CPT1C"
"246698","hsa03320","1.0","interaction","RXRG (interaction) CPT1A","1","hsa03320","false","interaction","RXRG (interaction) CPT1A"
"246697","hsa03320","1.0","interaction","RXRB (interaction) CPT1B","1","hsa03320","false","interaction","RXRB (interaction) CPT1B"
"246696","hsa03320","1.0","interaction","RXRB (interaction) CPT1A","1","hsa03320","false","interaction","RXRB (interaction) CPT1A"
"246695","hsa03320","1.0","interaction","RXRG (interaction) CPT1C","1","hsa03320","false","interaction","RXRG (interaction) CPT1C"
"246702","hsa03320","1.0","interaction","RXRA (interaction) CPT2","1","hsa03320","false","interaction","RXRA (interaction) CPT2"
"246701","hsa03320","1.0","interaction","PPARA (interaction) CPT2","1","hsa03320","false","interaction","PPARA (interaction) CPT2"
"246699","hsa03320","1.0","interaction","RXRG (interaction) CPT1B","1","hsa03320","false","interaction","RXRG (interaction) CPT1B"
"246706","hsa03320","1.0","interaction","PPARA (interaction) ACADM","1","hsa03320","false","interaction","PPARA (interaction) ACADM"
"246704","hsa03320","1.0","interaction","RXRG (interaction) CPT2","1","hsa03320","false","interaction","RXRG (interaction) CPT2"
"246703","hsa03320","1.0","interaction","RXRB (interaction) CPT2","1","hsa03320","false","interaction","RXRB (interaction) CPT2"
"246709","hsa03320","1.0","interaction","RXRG (interaction) ACADM","1","hsa03320","false","interaction","RXRG (interaction) ACADM"
"246708","hsa03320","1.0","interaction","RXRB (interaction) ACADM","1","hsa03320","false","interaction","RXRB (interaction) ACADM"
"246707","hsa03320","1.0","interaction","RXRA (interaction) ACADM","1","hsa03320","false","interaction","RXRA (interaction) ACADM"
"246714","hsa03320","1.0","interaction","RXRG (interaction) ANGPTL4","1","hsa03320","false","interaction","RXRG (interaction) ANGPTL4"
"246713","hsa03320","1.0","interaction","RXRB (interaction) ANGPTL4","1","hsa03320","false","interaction","RXRB (interaction) ANGPTL4"
"246712","hsa03320","1.0","interaction","RXRA (interaction) ANGPTL4","1","hsa03320","false","interaction","RXRA (interaction) ANGPTL4"
